ATM,.model,DATE,Cash,.mean
ATM3,NAIVE(Cash),2010-05-01,"N(85, 26)",85
ATM3,NAIVE(Cash),2010-05-02,"N(85, 52)",85
ATM3,NAIVE(Cash),2010-05-03,"N(85, 78)",85
ATM3,NAIVE(Cash),2010-05-04,"N(85, 104)",85
ATM3,NAIVE(Cash),2010-05-05,"N(85, 129)",85
ATM3,NAIVE(Cash),2010-05-06,"N(85, 155)",85
ATM3,NAIVE(Cash),2010-05-07,"N(85, 181)",85
ATM3,NAIVE(Cash),2010-05-08,"N(85, 207)",85
ATM3,NAIVE(Cash),2010-05-09,"N(85, 233)",85
ATM3,NAIVE(Cash),2010-05-10,"N(85, 259)",85
ATM3,NAIVE(Cash),2010-05-11,"N(85, 285)",85
ATM3,NAIVE(Cash),2010-05-12,"N(85, 311)",85
ATM3,NAIVE(Cash),2010-05-13,"N(85, 336)",85
ATM3,NAIVE(Cash),2010-05-14,"N(85, 362)",85
ATM3,NAIVE(Cash),2010-05-15,"N(85, 388)",85
ATM3,NAIVE(Cash),2010-05-16,"N(85, 414)",85
ATM3,NAIVE(Cash),2010-05-17,"N(85, 440)",85
ATM3,NAIVE(Cash),2010-05-18,"N(85, 466)",85
ATM3,NAIVE(Cash),2010-05-19,"N(85, 492)",85
ATM3,NAIVE(Cash),2010-05-20,"N(85, 518)",85
ATM3,NAIVE(Cash),2010-05-21,"N(85, 544)",85
ATM3,NAIVE(Cash),2010-05-22,"N(85, 569)",85
ATM3,NAIVE(Cash),2010-05-23,"N(85, 595)",85
ATM3,NAIVE(Cash),2010-05-24,"N(85, 621)",85
ATM3,NAIVE(Cash),2010-05-25,"N(85, 647)",85
ATM3,NAIVE(Cash),2010-05-26,"N(85, 673)",85
ATM3,NAIVE(Cash),2010-05-27,"N(85, 699)",85
ATM3,NAIVE(Cash),2010-05-28,"N(85, 725)",85
ATM3,NAIVE(Cash),2010-05-29,"N(85, 751)",85
ATM3,NAIVE(Cash),2010-05-30,"N(85, 776)",85
ATM3,NAIVE(Cash),2010-05-31,"N(85, 802)",85
