ATM,.model,DATE,transformed_cash,.mean
ATM4,ARIMA(transformed_cash),2010-05-01,"N(24, 176)",23.869285439933194
ATM4,ARIMA(transformed_cash),2010-05-02,"N(29, 177)",28.62352662533229
ATM4,ARIMA(transformed_cash),2010-05-03,"N(31, 177)",31.45297855130238
ATM4,ARIMA(transformed_cash),2010-05-04,"N(20, 177)",19.56184793512569
ATM4,ARIMA(transformed_cash),2010-05-05,"N(30, 177)",30.111975954725317
ATM4,ARIMA(transformed_cash),2010-05-06,"N(25, 177)",25.051656813587893
ATM4,ARIMA(transformed_cash),2010-05-07,"N(28, 177)",27.872452465637128
ATM4,ARIMA(transformed_cash),2010-05-08,"N(22, 185)",22.32205604114224
ATM4,ARIMA(transformed_cash),2010-05-09,"N(30, 185)",30.00750425522129
ATM4,ARIMA(transformed_cash),2010-05-10,"N(30, 185)",29.65177086611541
ATM4,ARIMA(transformed_cash),2010-05-11,"N(22, 185)",21.972891683893252
ATM4,ARIMA(transformed_cash),2010-05-12,"N(29, 185)",28.939572015770118
ATM4,ARIMA(transformed_cash),2010-05-13,"N(24, 185)",24.105846265619856
ATM4,ARIMA(transformed_cash),2010-05-14,"N(29, 185)",29.459632276135647
ATM4,ARIMA(transformed_cash),2010-05-15,"N(26, 196)",26.349434983934895
ATM4,ARIMA(transformed_cash),2010-05-16,"N(29, 196)",28.907836259574285
ATM4,ARIMA(transformed_cash),2010-05-17,"N(29, 196)",29.406040664572796
ATM4,ARIMA(transformed_cash),2010-05-18,"N(25, 196)",25.4058943227389
ATM4,ARIMA(transformed_cash),2010-05-19,"N(29, 196)",28.98688575988517
ATM4,ARIMA(transformed_cash),2010-05-20,"N(27, 196)",26.95919578996931
ATM4,ARIMA(transformed_cash),2010-05-21,"N(29, 196)",28.642115367290206
ATM4,ARIMA(transformed_cash),2010-05-22,"N(27, 197)",26.873487113079666
ATM4,ARIMA(transformed_cash),2010-05-23,"N(29, 197)",28.95916628468924
ATM4,ARIMA(transformed_cash),2010-05-24,"N(29, 197)",28.990764707543164
ATM4,ARIMA(transformed_cash),2010-05-25,"N(27, 197)",26.60681228481607
ATM4,ARIMA(transformed_cash),2010-05-26,"N(29, 197)",28.75965259747588
ATM4,ARIMA(transformed_cash),2010-05-27,"N(27, 197)",27.360888488811405
ATM4,ARIMA(transformed_cash),2010-05-28,"N(29, 197)",28.793166107559212
ATM4,ARIMA(transformed_cash),2010-05-29,"N(28, 198)",27.79674123025122
ATM4,ARIMA(transformed_cash),2010-05-30,"N(29, 198)",28.74747524942002
ATM4,ARIMA(transformed_cash),2010-05-31,"N(29, 198)",28.85478065486412
