.model,date,transformed_KWH,.mean
ets,2014 Jan,"N(6.2, 8.6e-05)",6.203161339982342
ets,2014 Feb,"N(6.2, 9.3e-05)",6.190081724162407
ets,2014 Mar,"N(6.2, 1e-04)",6.17482359341303
ets,2014 Apr,"N(6.2, 0.00011)",6.162904542952068
ets,2014 May,"N(6.2, 0.00011)",6.157458844337668
ets,2014 Jun,"N(6.2, 0.00012)",6.183065382094642
ets,2014 Jul,"N(6.2, 0.00013)",6.201552086066297
ets,2014 Aug,"N(6.2, 0.00014)",6.206955692252523
ets,2014 Sep,"N(6.2, 0.00014)",6.200070940070962
ets,2014 Oct,"N(6.2, 0.00015)",6.169385258057611
ets,2014 Nov,"N(6.2, 0.00016)",6.154647971507814
ets,2014 Dec,"N(6.2, 0.00017)",6.17517206173599
ets,2015 Jan,"N(6.2, 0.00017)",6.204367192934703
ets,2015 Feb,"N(6.2, 0.00018)",6.1912875771147675
ets,2015 Mar,"N(6.2, 0.00019)",6.176029446365391
ets,2015 Apr,"N(6.2, 0.00019)",6.164110395904429
ets,2015 May,"N(6.2, 2e-04)",6.158664697290029
ets,2015 Jun,"N(6.2, 0.00021)",6.184271235047003
ets,2015 Jul,"N(6.2, 0.00022)",6.202757939018658
ets,2015 Aug,"N(6.2, 0.00022)",6.2081615452048835
ets,2015 Sep,"N(6.2, 0.00023)",6.201276793023323
ets,2015 Oct,"N(6.2, 0.00024)",6.170591111009972
ets,2015 Nov,"N(6.2, 0.00025)",6.155853824460175
ets,2015 Dec,"N(6.2, 0.00025)",6.176377914688351
ets,2016 Jan,"N(6.2, 0.00026)",6.205573045887063
ets,2016 Feb,"N(6.2, 0.00027)",6.1924934300671275
ets,2016 Mar,"N(6.2, 0.00027)",6.177235299317751
ets,2016 Apr,"N(6.2, 0.00028)",6.165316248856789
ets,2016 May,"N(6.2, 0.00029)",6.159870550242389
ets,2016 Jun,"N(6.2, 3e-04)",6.185477087999363
ets,2016 Jul,"N(6.2, 3e-04)",6.2039637919710175
ets,2016 Aug,"N(6.2, 0.00031)",6.2093673981572435
ets,2016 Sep,"N(6.2, 0.00032)",6.2024826459756826
ets,2016 Oct,"N(6.2, 0.00033)",6.171796963962332
ets,2016 Nov,"N(6.2, 0.00033)",6.157059677412535
ets,2016 Dec,"N(6.2, 0.00034)",6.177583767640711
ets,2017 Jan,"N(6.2, 0.00035)",6.206778898839423
ets,2017 Feb,"N(6.2, 0.00036)",6.193699283019488
ets,2017 Mar,"N(6.2, 0.00036)",6.1784411522701115
ets,2017 Apr,"N(6.2, 0.00037)",6.16652210180915
ets,2017 May,"N(6.2, 0.00038)",6.16107640319475
ets,2017 Jun,"N(6.2, 0.00039)",6.186682940951724
ets,2017 Jul,"N(6.2, 0.00039)",6.205169644923378
ets,2017 Aug,"N(6.2, 4e-04)",6.210573251109604
ets,2017 Sep,"N(6.2, 0.00041)",6.203688498928043
ets,2017 Oct,"N(6.2, 0.00041)",6.173002816914693
ets,2017 Nov,"N(6.2, 0.00042)",6.158265530364896
ets,2017 Dec,"N(6.2, 0.00043)",6.178789620593072
ets,2018 Jan,"N(6.2, 0.00044)",6.207984751791784
ets,2018 Feb,"N(6.2, 0.00044)",6.194905135971848
